Remote,CplxID,Borough,CplxName,Routes,CplxLat,CplxLong,Hub
R222,366,Bx,Parkchester,6,40.833226,-73.860816,0
R223,458,Q,46 St,7,40.743132,-73.918435,0
R224,334,Bk,Clark St,2 3,40.697466,-73.993086,0
R225,336,Bk,Hoyt St,2 3,40.690545,-73.985065,0
R226,444,Bx,Gun Hill Rd,5,40.869526,-73.846384,0
R227,22,M,Rector St,R W,40.70722,-74.013342,1
R228,49,Bk,Avenue J,B Q,40.625039,-73.960803,0
R229,50,Bk,Avenue M,B Q,40.617618,-73.959399,0
R230,53,Bk,Neck Rd,B Q,40.595246,-73.955161,0
R231,28,Bk,Union St,R,40.677316,-73.98311,0
R232,33,Bk,45 St,R,40.648939,-74.010006,0
R233,34,Bk,53 St,R,40.645069,-74.014034,0
R234,61,Bk,50 St,D,40.63626,-73.994791,0
R235,120,Bk,Bedford Av,L,40.717304,-73.956872,0
R236,127,Bk,DeKalb Av,L,40.703811,-73.918425,0
R237,214,Bx,182-183 Sts,B D,40.856093,-73.900741,0
R238,271,Q,Steinway St,M R,40.756879,-73.92074,0
R239,283,Bk,Greenpoint Av,G,40.731352,-73.954449,0
R240,231,M,Grand St,B D,40.718267,-73.993753,1
R241,241,Bk,15 St - Prospect Park,F G,40.660365,-73.979493,0
R242,245,Bk,18 Av,F,40.629755,-73.976971,0
R243,387,Bx,170 St,4,40.840075,-73.917791,0
R244,384,Bx,Burnside Av,4,40.853453,-73.907684,0
R245,367,Bx,St Lawrence Av,6,40.831509,-73.867618,0
R246,30,Bk,Prospect Av,R,40.665414,-73.992872,0
R247,62,Bk,55 St,D,40.631435,-73.995476,0
R248,119,M,1 Av,L,40.730953,-73.981628,1
R249,122,Bk,Graham Av,L,40.714565,-73.944053,0
R250,123,Bk,Grand St,L,40.711926,-73.94067,0
R251,157,M,96 St,B C,40.791642,-73.964696,0
R252,173,Bk,High St,A C,40.699337,-73.990531,0
R253,216,Bx,174-175 Sts,B D,40.8459,-73.910136,0
R254,265,Q,Grand Av - Newtown,M R,40.737015,-73.877223,0
R255,258,Q,Briarwood - Van Wyck Blvd,E F,40.709179,-73.820574,0
R256,284,Bk,Nassau Av,G,40.724635,-73.951277,0
R257,234,M,East Broadway,F,40.713715,-73.990173,1
R258,608,Bk,4 Av - 9 St,R F G,40.67032,-73.988757,0
R259,222,M,Roosevelt Island,F,40.759145,-73.95326,0
R260,301,M,181 St,1,40.849505,-73.933596,0
R261,459,Q,40 St,7,40.743781,-73.924016,0
R262,45,Bk,Beverley Rd,B Q,40.644031,-73.964492,0
R263,48,Bk,Avenue H,B Q,40.62927,-73.961639,0
R264,56,Bk,Ocean Pkwy,Q,40.576312,-73.968501,0
R265,124,Bk,Montrose Av,L,40.707739,-73.93985,0
R266,129,Q,Halsey St,L,40.695602,-73.904084,0
R267,270,Q,46 St,M R,40.756312,-73.913333,0
R268,629,Bk,Metropolitan Av / Lorimer St,L G,40.713875,-73.951592,0
R269,289,Bk,Bedford - Nostrand Avs,G,40.689627,-73.953522,0
R270,238,Bk,Smith - 9 Sts,F G,40.67358,-73.995959,0
R271,252,Bk,Avenue X,F,40.58962,-73.97425,0
R272,319,M,28 St,1,40.747215,-73.993365,1
R273,304,M,145 St,1,40.826551,-73.95036,0
R274,300,M,191 St,1,40.855225,-73.929412,0
R275,383,Bx,183 St,4,40.858407,-73.903879,0
R276,464,Q,Vernon Blvd - Jackson Av,7,40.742626,-73.953581,0
R277,353,Bk,President St,2 5,40.667883,-73.950683,0
R278,31,Bk,25 St,R,40.660397,-73.998091,0
R279,126,Bk,Jefferson St,L,40.706607,-73.922913,0
R280,145,M,190 St,A,40.859022,-73.93418,0
R281,160,M,72 St,B C,40.775594,-73.97641,0
R282,168,M,Spring St,C E,40.726227,-74.003739,1
R283,176,Bk,Lafayette Av,C,40.686113,-73.973946,0
R284,177,Bk,Clinton - Washington Avs,C,40.683263,-73.965838,0
R285,209,Q,Far Rockaway - Mott Av,A,40.603995,-73.755405,0
R286,288,Bk,Myrtle - Willoughby Avs,G,40.694568,-73.949046,0
R287,290,Bk,Classon Av,G,40.688873,-73.96007,0
R288,240,Bk,7 Av,F G,40.666271,-73.980305,0
R289,242,Bk,Fort Hamilton Pkwy,F G,40.650782,-73.975776,0
R290,324,M,Houston St,1,40.728251,-74.005367,1
R291,460,Q,33 St,7,40.744587,-73.930997,0
R292,443,Bx,Baychester Av,5,40.878663,-73.838591,0
R293,318,M,34 St - Penn Station,1 2 3,40.750373,-73.991057,1
R294,125,Bk,Morgan Av,L,40.706152,-73.933147,0
R295,130,Bk,Wilson Av,L,40.688764,-73.904046,0
R296,149,M,163 St - Amsterdam Av,C,40.836013,-73.939892,0
R297,627,Bk,Franklin Av,S C,40.681159,-73.956056,0
R298,269,Q,Northern Blvd,M R,40.752885,-73.906006,0
R299,286,Bk,Broadway,G,40.706092,-73.950308,0
R300,232,M,2 Av,F,40.723402,-73.989938,1
R301,235,Bk,York St,F,40.701397,-73.986751,0
R302,224,M,57 St,F,40.763972,-73.97745,1
R303,221,Q,21 St - Queensbridge,F,40.754203,-73.942836,0
R304,329,M,Rector St,1,40.707513,-74.013783,1
R305,328,M,Cortlandt St,1,40.711835,-74.012188,1
R306,294,Bx,238 St,1,40.884667,-73.90087,0
R307,391,Bx,138 St - Grand Concourse,4 5,40.813224,-73.929849,0
R308,386,Bx,Mt Eden Av,4,40.844434,-73.914685,0
R309,385,Bx,176 St,4,40.84848,-73.911794,0
R310,449,Q,111 St,7,40.75173,-73.855334,0
R311,103,M,Bowery,J Z,40.72028,-73.993915,1
R312,57,Bk,W 8 St - NY Aquarium,F Q,40.576127,-73.975939,0
R313,131,Bk,Bushwick Av - Aberdeen St,L,40.682829,-73.905249,0
R314,156,M,103 St,B C,40.796092,-73.961454,0
R315,220,M,155 St,B D,40.830135,-73.938209,0
R316,287,Bk,Flushing Av,G,40.700377,-73.950234,0
R317,291,Bk,Clinton - Washington Avs,G,40.688089,-73.966839,0
R318,292,Bk,Fulton St,G,40.687119,-73.975375,0
R319,223,M,Lexington Av/63 St,F Q,40.764629,-73.966113,0
R320,325,M,Canal St,1,40.722854,-74.006277,1
R321,321,M,18 St,1,40.74104,-73.997871,1
R322,409,M,Spring St,6,40.722301,-73.997141,1
R323,441,M,Central Park North (110 St),2 3,40.799075,-73.951822,0
R324,440,M,116 St,2 3,40.802098,-73.949625,0
R325,370,Bx,Whitlock Av,6,40.826525,-73.886283,0
R326,364,Bx,Zerega Av,6,40.836488,-73.847036,0
R327,457,Q,52 St,7,40.744149,-73.912549,0
R328,448,Q,Mets - Willets Point,7,40.754622,-73.845625,0
R329,446,Bx,Morris Park,5,40.854364,-73.860495,0
R330,118,M,3 Av,L,40.732849,-73.986122,1
R331,150,M,155 St,C,40.830518,-73.941514,0
R332,152,M,135 St,B C,40.817894,-73.947649,0
R333,154,M,116 St,B C,40.805085,-73.954882,0
R334,155,M,Cathedral Pkwy (110 St),B C,40.800603,-73.958161,0
R335,204,Q,Beach 67 St,A,40.590927,-73.796924,0
R336,205,Q,Beach 60 St,A,40.592374,-73.788522,0
R337,206,Q,Beach 44 St,A,40.592943,-73.776013,0
R338,207,Q,Beach 36 St,A,40.595398,-73.768175,0
R339,272,Q,36 St,M R,40.752039,-73.928781,0
R340,268,Q,65 St,M R,40.749669,-73.898453,0
R341,260,Q,75 Av,E F,40.718331,-73.837324,0
R342,280,Q,Jamaica - Van Wyck,E,40.702566,-73.816859,0
R343,326,M,Franklin St,1,40.719318,-74.006886,1
R344,437,M,145 St,3,40.820421,-73.936245,0
R345,436,M,Harlem - 148 St,3,40.82388,-73.93647,0
R346,606,Q,Court Sq - 23 St,E M G 7,40.747257,-73.945112,0
R347,455,Q,69 St,7,40.746325,-73.896403,0
R348,133,Bk,Atlantic Av,L,40.675345,-73.903097,0
R349,134,Bk,Sutter Av,L,40.669367,-73.901975,0
R350,135,Bk,Livonia Av,L,40.664038,-73.900571,0
R352,100,Bk,Hewes St,J M,40.70687,-73.953431,0
R353,99,Bk,Lorimer St,J M,40.703869,-73.947408,0
R354,193,Q,104 St,A,40.681711,-73.837683,0
R355,194,Q,111 St,A,40.684331,-73.832163,0
R356,195,Q,Ozone Park - Lefferts Blvd,A,40.685951,-73.825798,0
R357,197,Q,Aqueduct - N Conduit Av,A,40.668234,-73.834058,0
R358,208,Q,Beach 25 St,A,40.600066,-73.761353,0
R359,606,Q,Court Sq - 23 St,E M G 7,40.747257,-73.945112,0
R360,282,Q,21 St,G,40.744065,-73.949724,0
R361,424,Bx,Pelham Pkwy,2 5,40.857192,-73.867615,0
R362,423,Bx,Allerton Av,2 5,40.865462,-73.867352,0
R363,422,Bx,Burke Av,2 5,40.871356,-73.867164,0
R364,421,Bx,Gun Hill Rd,2 5,40.87785,-73.866256,0
R365,420,Bx,219 St,2 5,40.883895,-73.862633,0
R366,419,Bx,225 St,2 5,40.888022,-73.860341,0
R367,418,Bx,233 St,2 5,40.893193,-73.857473,0
R368,59,Bk,9 Av,D,40.646292,-73.994324,0
R369,60,Bk,Fort Hamilton Pkwy,D,40.640914,-73.994304,0
R370,64,Bk,71 St,D,40.619589,-73.998864,0
R371,65,Bk,79 St,D,40.613501,-74.00061,0
R372,66,Bk,18 Av,D,40.607954,-74.001736,0
R373,67,Bk,20 Av,D,40.604556,-73.998168,0
R374,68,Bk,Bay Pkwy,D,40.601875,-73.993728,0
R375,136,Bk,New Lots Av,L,40.658733,-73.899232,0
R376,137,Bk,E 105 St,L,40.650573,-73.899485,0
R377,98,Bk,Flushing Av,J M,40.70026,-73.941126,0
R378,97,Bk,Myrtle Av,J M Z,40.697207,-73.935657,0
R379,96,Bk,Kosciuszko St,J,40.693342,-73.928814,0
R380,95,Bk,Gates Av,J Z,40.68963,-73.92227,0
R381,94,Bk,Halsey St,J,40.68637,-73.916559,0
R382,189,Bk,Grant Av,A,40.677044,-73.86505,0
R383,190,Q,80 St,A,40.679371,-73.858992,0
R384,191,Q,88 St,A,40.679843,-73.85147,0
R385,192,Q,Rockaway Blvd,A,40.680429,-73.843853,0
R386,428,Bx,174 St,2 5,40.837288,-73.887734,0
R387,427,Bx,West Farms Sq - E Tremont Av,2 5,40.840295,-73.880049,0
R388,426,Bx,E 180 St,2 5,40.841894,-73.873488,0
R389,425,Bx,Bronx Park East,2 5,40.848828,-73.868457,0
R390,71,Bk,8 Av,N,40.635064,-74.011719,0
R391,72,Bk,Fort Hamilton Pkwy,N,40.631386,-74.005351,0
R392,74,Bk,18 Av,N,40.620671,-73.990414,0
R393,75,Bk,20 Av,N,40.61741,-73.985026,0
R394,76,Bk,Bay Pkwy,N,40.611815,-73.981848,0
R395,77,Bk,Kings Hwy,N,40.603923,-73.980353,0
R396,78,Bk,Avenue U,N,40.597473,-73.979137,0
R397,79,Bk,86 St,N,40.592721,-73.97823,0
R398,615,Bk,62 St / New Utrecht Av,D N,40.625419,-73.996632,0
R399,69,Bk,25 Av,D,40.597704,-73.986829,0
R400,70,Bk,Bay 50 St,D,40.588841,-73.983765,0
R401,114,Bk,Central Av,M,40.697857,-73.927397,0
R402,111,Q,Seneca Av,M,40.702762,-73.90774,0
R403,110,Q,Forest Av,M,40.704423,-73.903077,0
R404,109,Q,Fresh Pond Rd,M,40.706186,-73.895877,0
R405,433,Bx,Jackson Av,2 5,40.81649,-73.907807,0
R406,432,Bx,Prospect Av,2 5,40.819585,-73.90177,0
R407,431,Bx,Intervale Av,2 5,40.822181,-73.896736,0
R408,430,Bx,Simpson St,2 5,40.824073,-73.893064,0
R409,429,Bx,Freeman St,2 5,40.829993,-73.891865,0
R411,141,Bk,Park Pl,S,40.674772,-73.957624,0
R412,626,Bk,Franklin Av / Botanic Garden,S 2 3 4 5,40.670499,-73.958759,0
R413,113,Bk,Knickerbocker Av,M,40.698664,-73.919711,0
R414,198,Q,Howard Beach - JFK Airport,A,40.660476,-73.830301,0
R415,199,Q,Broad Channel,A S,40.608382,-73.815925,0
R416,200,Q,Beach 90 St,A S,40.588034,-73.813641,0
R417,201,Q,Beach 98 St,A S,40.585307,-73.820558,0
R418,202,Q,Beach 105 St,A S,40.583209,-73.827559,0
R419,203,Q,Rockaway Park - Beach 116 St,A S,40.580903,-73.835592,0
R420,244,Bk,Ditmas Av,F,40.636119,-73.978172,0
R421,246,Bk,Avenue I,F,40.625322,-73.976127,0
R422,247,Bk,Bay Pkwy,F,40.620769,-73.975264,0
R423,248,Bk,Avenue N,F,40.61514,-73.974197,0
R424,249,Bk,Avenue P,F,40.608944,-73.973022,0
R425,251,Bk,Avenue U,F,40.596063,-73.973357,0
R426,253,Bk,Neptune Av,F,40.581011,-73.974574,0
R427,362,Bx,Middletown Rd,6,40.843863,-73.836322,0
R428,361,Bx,Buhre Av,6,40.84681,-73.832569,0
R429,360,Bx,Pelham Bay Park,6,40.852462,-73.828121,0
R430,445,Bx,Pelham Pkwy,5,40.858985,-73.855359,0
R431,442,Bx,Eastchester - Dyre Av,5,40.8883,-73.830834,0
R432,93,Bk,Chauncey St,J Z,40.682893,-73.910456,0
R433,91,Bk,Alabama Av,J,40.676992,-73.898654,0
R434,90,Bk,Van Siclen Av,J Z,40.678024,-73.891688,0
R435,89,Bk,Cleveland St,J,40.679947,-73.884639,0
R436,88,Bk,Norwood Av,J Z,40.68141,-73.880039,0
R437,87,Bk,Crescent St,J Z,40.683194,-73.873785,0
R438,182,Bk,Ralph Av,C,40.678822,-73.920786,0
R439,183,Bk,Rockaway Av,C,40.67834,-73.911946,0
R440,185,Bk,Liberty Av,C,40.674542,-73.896548,0
R441,186,Bk,Van Siclen Av,C,40.67271,-73.890358,0
R442,187,Bk,Shepherd Av,C,40.67413,-73.88075,0
R443,217,Bx,170 St,B D,40.839306,-73.9134,0
R444,417,Bx,Nereid Av,2 5,40.898379,-73.854376,0
R445,377,Bx,3 Av - 138 St,6,40.810476,-73.926138,0
R446,376,Bx,Brook Av,6,40.807566,-73.91924,0
R447,375,Bx,Cypress Av,6,40.805368,-73.914042,0
R448,374,Bx,E 143 St - St Mary's St,6,40.808719,-73.907657,0
R449,373,Bx,E 149 St,6,40.812118,-73.904098,0
R450,372,Bx,Longwood Av,6,40.816104,-73.896435,0
R451,355,Bk,Winthrop St,2 5,40.656652,-73.9502,0
R452,313,M,72 St,1 2 3,40.778453,-73.98197,0
R453,228,M,23 St,F M,40.742878,-73.992821,1
R455,31,Bk,25 St,R,40.660397,-73.998091,0
R456,336,Bk,Hoyt St,2 3,40.690545,-73.985065,0
R460,101,Bk,Marcy Av,J M Z,40.708359,-73.957757,0
R461,619,M,Broadway-Lafayette St / Bleecker St,B D F M 6,40.725665,-73.995645,1
R462,623,M,Canal St,R W N Q J Z 6,40.718697,-74.000977,1
R463,623,M,Canal St,R W N Q J Z 6,40.718697,-74.000977,1
R464,196,Q,Aqueduct Racetrack,A,40.672097,-73.835919,0
R570,477,M,72 St,Q,40.768799,-73.958424,0
R571,476,M,86 St,Q,40.777891,-73.951787,0
R572,475,M,96 St,Q,40.784318,-73.947152,0
